objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Patchwork","163412","8","0","0","1","0","0","0","0","0","0","0","2","","","","","","75940319","7.47319","7.57991","1.5981","146","122166","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pelusas","339214","8.5","37","0","1","0","0","0","0","0","0","0","3","","","","","","107789767","6.32486","7.08734","1.025","1775","6114","thing","Fruit Fight","2","5","20","20","20","2022","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mercurio","Spanish","2022","Mercurio Spanish edition"
"Penguin Airlines","369388","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","112846689","5.74189","6.89716","1.3","5518","1185","thing","Penguin Airlines","2","8","30","30","15","2023","2,4,6,8","4,6,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pick-omino","15818","7","15","0","1","0","0","0","0","0","0","0","3","","","","","","82901441","6.39317","6.59649","1.155","1592","22675","thing","Pick-omino","2","7","20","20","20","2005","2,3,4,5","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pictomania","98229","9","3","0","1","0","0","0","0","0","0","0","3","","","","","","109320336","6.60091","7.25556","1.525","1091","5652","thing","Pictomania","3","6","25","25","25","2014","3,4,5,6","5,6","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Ediciones MasQueOca","Spanish","2014","Spanish edition"
"Piepmatz: Little Songbirds","246200","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","84521212","6.28448","6.96262","2.101","1905","5126","thing","Piepmatz: Little Songbirds","2","4","40","40","20","2018","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Plata","333280","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","106190998","5.68835","6.90861","1.375","6513","967","thing","Plata","2","6","40","40","30","2021","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Polis","303551","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","84349890","6.25003","8.05799","3.8082","2020","2410","thing","Polis","2","2","120","120","60","2020","2","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Port Royal: Big Box","331265","9","7","0","1","0","0","0","0","0","0","0","3","","","","","","118744262","6.74553","7.53294","1.7473","0","10672","thing","Port Royal: Big Box","1","5","50","50","20","2022","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Praga Caput Regni","308765","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","122348527","7.3716","7.83803","3.7307","192","16436","thing","Praga Caput Regni","1","4","150","150","45","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pylos","1419","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","108719884","5.86011","6.30112","1.9194","4171","3893","thing","Pylos","2","2","10","10","10","1993","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Quantum","143519","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","135616629","6.78686","7.22446","2.4797","770","8698","thing","Quantum","2","4","60","60","60","2013","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Quetzal","300700","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","118743657","5.93985","6.77737","2.1556","3543","2283","thing","Quetzal","2","5","75","75","30","2020","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Race for the Galaxy","28143","8.5","8","0","1","0","0","0","0","0","0","0","2","","","","","","79146304","7.6173","7.73722","2.9927","94","73622","thing","Race for the Galaxy","2","4","60","60","30","2007","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Red7","161417","8","2","3","1","0","0","0","0","0","0","0","3","","","","","","115059282","6.67195","6.85938","1.6998","965","26110","thing","Red7","2","4","30","30","5","2014","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Reforest","387276","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","123527639","5.95212","7.42017","2.5938","3456","1527","thing","Reforest","1","4","60","60","30","2024","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Rhino Hero","91514","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","98557694","6.62873","6.88588","1.0202","1035","21982","thing","Rhino Hero","2","5","15","15","5","2011","2,3,4,5","3","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rick and Morty: The Pickle Rick Game","246532","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","78206295","5.61727","6.80725","1.6364","8529","1011","thing","Rick and Morty: The Pickle Rick Game","1","2","45","45","30","2018","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rock Hard: 1977 – Jackie Fox Promo Character","424757","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125157799","5.55255","7.58814","0","0","489","thing","Rock Hard: 1977 – Jackie Fox Promo Character","2","5","90","90","45","2024","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Root","237182","10","22","4","1","0","0","0","0","0","0","0","3","","","","","","75949457","7.88206","8.07177","3.8422","34","100780","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Root: Landmarks Pack","334486","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113343638","6.21164","7.95234","2.625","0","8330","thing","Root: Landmarks Pack","2","4","90","90","60","2022","3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: Marauder Hirelings Pack & Hireling Box","336276","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97378666","6.44035","8.4828","3.9091","0","9486","thing","Root: Marauder Hirelings Pack & Hireling Box","2","4","90","90","60","2022","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: Riverfolk Hirelings Pack","334485","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97378661","6.25194","8.34819","3.3333","0","7864","thing","Root: Riverfolk Hirelings Pack","2","4","90","90","60","2022","2,3,4","3","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Clockwork Expansion","287220","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","97721343","6.6435","7.76131","3.9783","0","16839","thing","Root: The Clockwork Expansion","1","4","90","90","60","2020","1,2,3","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Exiles and Partisans Deck","272638","9.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","97355459","7.33683","8.71688","3.8462","0","19272","thing","Root: The Exiles and Partisans Deck","2","6","0","0","0","2020","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Marauder Expansion","330149","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97378642","7.42111","8.83075","3.9767","0","18630","thing","Root: The Marauder Expansion","2","6","90","90","60","2022","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Riverfolk Expansion","241386","9.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","97135199","7.7625","8.43152","3.8693","0","38179","thing","Root: The Riverfolk Expansion","1","6","90","90","60","2018","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Underworld Expansion","272637","9.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","97378645","7.76252","8.71249","3.6421","0","28478","thing","Root: The Underworld Expansion","2","6","90","90","60","2020","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
