objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Caylus","18602","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","84349567","7.4916","7.70421","3.7908","137","29686","thing","Caylus","2","5","150","150","60","2005","2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chartae","269257","6.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","97680925","5.78378","6.4385","1.3415","4964","1824","thing","Chartae","2","2","10","10","10","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chess","171","10","17","0","1","0","0","0","0","0","0","0","3","","","","","","86963748","7.03617","7.23639","3.645","458","60698","thing","Chess","2","2","0","0","0","1475","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chimera","156373","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","116205175","5.89639","6.95835","2.1622","3878","1889","thing","Chimera","3","3","45","45","45","2014","3","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chronicle","54307","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","104234646","6.09535","6.80083","1.9608","2663","3359","thing","Chronicle","3","6","30","30","30","2009","3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Citadels","478","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","75940010","6.9299","7.05395","2.0469","583","79219","thing","Citadels","2","8","60","60","20","2000","2,3,4,5,6,7","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cities","402676","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","120914956","6.65667","7.29278","1.8963","991","8855","thing","Cities","2","4","45","45","45","2024","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Civilization: A New Dawn","233247","8.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","75940383","6.77766","7.24133","3.2035","785","13960","thing","Civilization: A New Dawn","2","4","120","120","60","2017","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Civilization: A New Dawn – Terra Incognita","314014","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","75940401","6.49494","8.21331","3.6522","0","4724","thing","Civilization: A New Dawn – Terra Incognita","2","5","120","120","120","2020","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Claim","233961","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","77647715","6.46105","6.90018","1.6471","1407","12773","thing","Claim","2","2","25","25","25","2017","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Claim 2","249763","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","88398637","6.17228","6.93028","1.5957","2322","6836","thing","Claim 2","2","2","25","25","25","2018","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Claim: Dark Elves","292096","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","88398677","5.56938","7.07582","1","0","795","thing","Claim: Dark Elves","2","2","25","25","25","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Claim: Ghosts","267315","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","88398670","5.57438","7.05119","1","0","873","thing","Claim: Ghosts","2","2","25","25","25","2019","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Claim: Mermaids","325438","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","88398710","5.52625","7.01957","1","0","315","thing","Claim: Mermaids","2","2","25","25","25","0","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Claim: Minotaurs","325436","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","88398718","5.52345","6.91348","1","0","315","thing","Claim: Minotaurs","2","2","25","25","25","0","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Clash of Decks: Starter Kit","334307","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","105527267","5.71164","6.27568","2.0303","6025","3617","thing","Clash of Decks: Starter Kit","1","2","30","30","15","2020","1,2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Pictures","198773","7.5","32","0","1","0","0","0","0","0","0","0","3","","","","","","88978967","6.99902","7.17739","1.2401","499","45099","thing","Codenames: Pictures","2","8","15","15","15","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Coloretto","5782","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","80583472","6.82017","6.98105","1.2703","729","31336","thing","Coloretto","2","5","30","30","30","2003","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Coral","343899","7","6","0","1","0","0","0","0","0","0","0","3","","","","","","101482557","5.71783","6.55164","1.375","5918","1473","thing","Coral","1","4","20","20","10","2022","1,2,3,4","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter","39463","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","76583753","7.31473","7.50832","2.5814","228","43508","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter: Cosmic Incursion","61001","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143203968","7.15842","8.22409","2.6852","0","13749","thing","Cosmic Encounter: Cosmic Incursion","3","6","60","60","60","2010","4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Cousins' War (Second Edition)","262818","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","85196464","5.73618","7.10099","2.1176","5608","1018","thing","The Cousins' War (Second Edition)","2","2","30","30","30","2018","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: Mission Deep Sea","324856","0","17","0","1","0","0","0","0","0","0","0","3","","","","","","124080388","7.80794","8.0515","2.0469","43","50752","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"CuBirds","245476","9","23","0","1","0","0","0","0","0","0","0","3","","","","","","75940750","6.56578","6.89875","1.3143","1164","13083","thing","CuBirds","2","5","20","20","20","2018","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dale of Merchants","176165","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","75939605","6.64909","7.1436","2.096","1005","9889","thing","Dale of Merchants","2","4","30","30","30","2015","2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dale of Merchants 2","191597","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","75939615","6.41491","7.27794","2.0833","1527","6623","thing","Dale of Merchants 2","2","4","30","30","30","2016","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dale of Merchants 3","299452","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","76709525","6.07456","7.64703","2.1333","2770","3070","thing","Dale of Merchants 3","2","4","40","40","20","2020","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dale of Merchants Collection","251551","10","8","0","1","0","0","0","0","0","0","0","1","","","","","","75940235","6.30281","7.75271","2.2857","1840","3346","thing","Dale of Merchants Collection","2","4","60","60","20","2019","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Despistas","416054","9","9","0","1","0","0","0","0","0","0","0","3","","","","","","133025415","5.56396","6.68125","1","11744","343","thing","Despistas","4","12","30","30","20","2024","4,5,6,7,8","6,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Deus","162082","8.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","84349696","6.91011","7.26259","2.8252","604","11721","thing","Deus","2","4","90","90","60","2014","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Deus: Egypt","201609","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138779609","5.93177","7.57156","3.0833","0","3399","thing","Deus: Egypt","2","4","90","90","60","2016","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit","39856","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","75939756","7.06643","7.18165","1.1923","422","107813","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Get Got!","262547","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","105731048","6.1525","6.94199","1.075","2401","5786","thing","Don't Get Got!","2","10","0","0","0","2018","4,5,6,7,8,9,10","6,7,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Petz","97207","10","8","0","1","0","0","0","0","0","0","0","3","","","","","","118069611","7.11564","7.38201","3.6345","372","20871","thing","Dungeon Petz","2","4","90","90","90","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Petz: Dark Alleys","143061","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122481112","6.20182","7.75301","3.7647","0","5218","thing","Dungeon Petz: Dark Alleys","2","4","120","120","90","2013","2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign","100423","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","75939767","6.77618","6.96698","2.3432","788","44079","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elfenland","10","7.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","93266579","6.41839","6.67362","2.1485","1519","11984","thing","Elfenland","2","6","60","60","60","1998","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Embosca't","391163","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","119577550","7.45228","7.73247","2.2121","152","37675","thing","Forest Shuffle","2","5","60","60","40","2024","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lookout Games","Catalan","2024","Catalan edition"
"Epic Card Game","175621","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","75939648","6.03876","6.39625","2.5187","2955","11774","thing","Epic Card Game","2","4","40","40","20","2015","2,3,4","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ethnos","206718","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","118548041","7.1668","7.45764","2.1098","335","16672","thing","Ethnos","2","6","60","60","45","2017","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Sinister Mansion","226520","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","90114833","6.43959","7.21454","2.5","1471","5929","thing","EXIT: The Game – The Sinister Mansion","1","4","90","90","45","2018","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Expediente Iberia","339544","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","92679546","0","7.40625","0","0","78","thing","Expediente Iberia","1","5","60","0","60","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"La Fallera Calavera","151446","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","75939816","5.69759","7.12304","1.7143","6306","1032","thing","La Fallera Calavera","2","5","30","30","30","2014","2,3,4,5","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"La Fallera Calavera 2: els ingredients de la discòrdia","190220","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","88935462","5.5861","7.75774","2","0","400","thing","La Fallera Calavera 2: els ingredients de la discòrdia","2","6","45","45","30","2015","3,4,5,6","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Faraway","385761","9","9","2","1","0","0","0","0","0","0","0","3","","","","","","112384840","7.26241","7.545","1.9332","255","31031","thing","Faraway","2","6","30","30","15","2023","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fight for Olympus","192834","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","111337958","5.92419","6.67433","2.098","3652","2573","thing","Fight for Olympus","2","2","30","30","30","2016","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Finspan","436126","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","141264345","7.02229","7.68622","2.3253","471","14465","thing","Finspan","1","5","60","60","45","2025","1,2,3,4","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: The Game","138161","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","143269672","6.98417","7.38092","2.9542","522","23965","thing","Firefly: The Game","1","4","240","240","120","2013","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Flash Point: Fire Rescue","100901","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","114168940","6.96709","7.14508","2.198","536","40703","thing","Flash Point: Fire Rescue","2","6","45","45","45","2011","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flick 'em Up!","169124","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","94542879","6.55067","6.83715","1.3462","1191","16843","thing","Flick 'em Up!","2","10","45","45","30","2015","2,3,4,5,6","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"For Northwood! A Solo Trick-Taking Game","334590","9","7","0","1","0","0","0","0","0","0","0","3","","","","","","106481370","7.03722","7.77346","1.85","457","11104","thing","For Northwood! A Solo Trick-Taking Game","1","1","30","30","15","2021","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"For Sale","172","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","110622480","7.13942","7.26554","1.2503","354","43688","thing","For Sale","3","6","30","30","30","1997","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Forage: A 9 card solitaire game","373577","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","101406210","5.941","7.16954","1.2941","3536","2802","thing","Forage: A 9 card solitaire game","1","1","10","10","5","2024","1","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forest Shuffle","391163","8","7","0","1","0","0","0","0","0","0","0","3","","","","","","119085632","7.45228","7.73247","2.2121","152","37675","thing","Forest Shuffle","2","5","60","60","40","2023","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Forest Shuffle: Dartmoor","438402","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","137674450","6.50795","7.6854","2.2857","1295","4760","thing","Forest Shuffle: Dartmoor","2","5","60","60","60","2025","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Forever Home","385999","7","5","0","1","0","0","0","0","0","0","0","3","","","","","","141386164","5.83756","6.67855","1.8276","4382","1958","thing","Forever Home","1","5","45","45","20","2023","1,2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fresh Fish","164698","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115624550","6.05227","7.17262","2.3953","2885","1630","thing","Fresh Fish","2","5","45","45","45","2014","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Future Inc.","387305","8","1","3","1","0","0","0","0","0","0","0","3","","","","","","111129562","5.76209","7.1636","2.6316","5243","1078","thing","Future Inc.","2","4","60","60","30","2023","3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gamelib Pocket","419641","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124055840","0","7.5","0","0","217","thing","Gamelib Pocket","1","4","60","60","10","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ginkgopolis","128271","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","118421897","7.06306","7.48505","2.9089","426","10427","thing","Ginkgopolis","1","5","45","45","45","2012","1,2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Glory to Rome","19857","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135181645","7.21171","7.49329","2.9329","292","16200","thing","Glory to Rome","2","5","60","60","60","2005","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Go","188","10","1","0","1","0","0","0","0","0","0","0","3","","","","","","75939845","7.30251","7.65727","3.9113","235","26406","thing","Go","2","2","180","180","30","-2200","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"El Grande","93","9.5","8","0","1","0","0","0","0","0","0","0","3","","","","","","90115233","7.5923","7.7709","2.935","100","35370","thing","El Grande","2","5","120","120","60","1995","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"El Grande: König & Intrigant","370","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90454323","5.93912","7.41755","3.0556","0","2512","thing","El Grande: König & Intrigant","2","5","90","90","90","1997","4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"La Granja","146886","9","8","3","1","0","0","0","0","0","0","0","3","","","","","","75939557","7.23236","7.5901","3.5687","274","13399","thing","La Granja","1","4","120","120","90","2014","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Grove: 9 card solitaire game","329873","9.5","30","0","1","0","0","0","0","0","0","0","3","","","","","","100163634","6.59908","7.50948","1.3333","1094","7346","thing","Grove: 9 card solitaire game","1","1","10","10","5","2021","1","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Guyenne","352412","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","93910045","0","7.83333","0","0","7","thing","Guyenne","2","4","15","15","10","2021","2,3,4","2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Halls of Hegra","336131","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","106348949","6.26858","8.09114","3.4","1960","3269","thing","Halls of Hegra","1","1","90","90","70","2023","1","1","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanafuda","5451","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","75940041","5.92042","6.8955","1.75","3688","3514","thing","Hanafuda","2","7","60","60","60","1701","2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanamikoji","158600","10","3","0","1","0","0","0","0","0","0","0","3","","","","","","77393335","7.22313","7.45261","1.6774","282","35088","thing","Hanamikoji","2","2","15","15","15","2013","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanamikoji: Geisha's Road","322339","7.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","75940774","5.75349","6.83299","2.1765","5367","2105","thing","Hanamikoji: Geisha's Road","2","2","25","25","25","2021","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Happy Mochi","438481","7.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","135473546","5.65652","6.57073","1.2","7273","1355","thing","Happy Mochi","2","6","20","20","20","2025","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Happy Salmon","194626","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","100028691","6.32466","6.64706","1.0593","1776","16955","thing","Happy Salmon","3","8","2","2","2","2016","4,5,6,7,8","5,6","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Harmonies","414317","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","119421021","7.74856","8.03019","2.0116","57","47772","thing","Harmonies","1","4","45","45","30","2024","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Heat: Pedal to the Metal","366013","10","20","0","1","0","0","0","0","0","0","0","3","","","","","","100489304","7.79556","8.00001","2.2007","47","59783","thing","Heat: Pedal to the Metal","1","6","60","60","30","2022","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hegemony: Lead Your Class to Victory","321608","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","87702054","7.82331","8.38315","4.2541","41","18516","thing","Hegemony: Lead Your Class to Victory","2","4","180","180","90","2023","2,3,4","4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Hero Realms","198994","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","75939638","7.19719","7.49505","1.8416","305","34295","thing","Hero Realms","2","4","20","20","20","2016","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"High Score","341416","7.5","10","0","1","0","0","0","0","0","0","0","3","","","","","","95034082","5.87949","6.62922","1.0833","4010","2549","thing","High Score","2","5","30","30","30","2021","2,3,4,5","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"High Society","220","10","15","0","1","0","0","0","0","0","0","0","3","","","","","","81471877","6.9691","7.1968","1.4801","533","24685","thing","High Society","3","5","30","30","15","1995","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hitster","318243","6","7","0","1","0","0","0","0","0","0","0","3","","","","","","144257210","7.00049","7.52778","1.0201","497","14924","thing","Hitster","2","10","30","30","30","2022","2,3,4,5,6,7,8,9,10","4,5,6","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive Pocket","154597","9.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","75940058","7.33861","7.68722","2.2094","0","36078","thing","Hive Pocket","2","2","20","20","20","2010","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hunch!","359398","7.5","10","0","1","0","0","0","0","0","0","0","3","","","","","","100951856","5.53965","6.58546","2","14647","194","thing","Hunch!","3","6","60","60","40","2022","5,6","6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Illuminati","28","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","88530134","6.09499","6.46387","2.6575","2666","9968","thing","Illuminati","2","6","180","180","60","1987","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Influentia","311191","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","85786644","5.54485","6.46283","2.2","13848","461","thing","Influentia","3","4","45","45","45","2020","3,4","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"INGSOC 1984","396649","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124349788","5.56152","6.33889","1.125","11975","319","thing","At the Office","2","4","30","30","20","2024","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","GDM Games","Catalan; French; Spanish","2024","Multilingual edition"
"Inkognito","466","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","88530216","6.14579","6.60372","2.1638","2430","7268","thing","Inkognito","3","5","90","90","90","1988","4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Innovation","63888","8.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","117374471","7.10742","7.3201","2.7815","379","26633","thing","Innovation","2","5","60","60","20","2010","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Innovation","63888","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","117374522","7.10742","7.3201","2.7815","379","26633","thing","Innovation","2","5","60","60","20","2012","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","HomoLudicus","Spanish","2012","HomoLudicus Spanish second edition"
"La Isla","154246","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","83924210","6.46626","6.86845","2.258","1390","8882","thing","La Isla","2","4","60","60","30","2014","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Islet","392473","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","114398497","5.61914","6.83397","1.8333","8457","480","thing","Islet","1","4","40","40","20","2023","1,2,3,4","1,2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaipur","54043","7.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","75949536","7.36259","7.48069","1.4639","201","95180","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Joraku","180901","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","135014691","6.27752","7.19822","2.234","1933","3826","thing","Joraku","3","4","60","60","30","2015","3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Junk Art","193042","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","79382962","6.90898","7.34806","1.1964","606","12143","thing","Junk Art","2","6","30","30","30","2016","2,3,4,5,6","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Keyframes","419754","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122427274","5.51833","5.98923","1.4286","19733","264","thing","Keyframes","2","4","25","25","15","2024","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kilauea","430319","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","133303327","5.6003","7.3461","2.4615","9331","344","thing","Kilauea","2","4","60","60","40","2025","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kimono Memories","422628","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","136001192","5.53395","6.63915","1.3333","15647","212","thing","Kimono Memories","1","2","30","30","15","2024","2","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
